Theta[deg],Phi[deg],dB(GainTotal)
0,0,-4.82479
5,0,-4.97636
10,0,-4.81645
15,0,-4.36732
20,0,-3.73268
25,0,-3.03877
30,0,-2.38559
35,0,-1.8315
40,0,-1.39538
45,0,-1.06378
50,0,-0.80106
55,0,-0.564597
60,0,-0.322253
65,0,-0.0643342
70,0,0.196749
75,0,0.436784
80,0,0.631309
85,0,0.762249
90,0,0.819447
95,0,0.800002
100,0,0.708025
105,0,0.555642
110,0,0.363951
115,0,0.161044
120,0,-0.0257363
125,0,-0.182842
130,0,-0.322723
135,0,-0.48651
140,0,-0.733601
145,0,-1.12287
150,0,-1.69304
155,0,-2.44646
160,0,-3.33636
165,0,-4.25695
170,0,-5.04161
175,0,-5.49106
180,0,-5.4606
0,5,-4.82479
5,5,-4.94085
10,5,-4.6992
15,5,-4.13826
20,5,-3.39496
25,5,-2.62079
30,5,-1.92404
35,5,-1.35967
40,5,-0.938675
45,5,-0.639074
50,5,-0.417741
55,5,-0.225794
60,5,-0.0260991
65,5,0.194676
70,5,0.426214
75,5,0.644891
80,5,0.825709
85,5,0.949498
90,5,1.00498
95,5,0.988525
100,5,0.904176
105,5,0.764704
110,5,0.592281
115,5,0.415773
120,5,0.261921
125,5,0.141491
130,5,0.0372445
135,5,-0.0975371
140,5,-0.327323
145,5,-0.714936
150,5,-1.30199
155,5,-2.09274
160,5,-3.04087
165,5,-4.03809
170,5,-4.90938
175,5,-5.43865
180,5,-5.4606
0,10,-4.82479
5,10,-4.89488
10,10,-4.55071
15,10,-3.86365
20,10,-3.01336
25,10,-2.17271
30,10,-1.45018
35,10,-0.892258
40,10,-0.500705
45,10,-0.246234
50,10,-0.0801878
55,10,0.0511963
60,10,0.190228
65,10,0.355504
70,10,0.540864
75,10,0.724753
80,10,0.882208
85,10,0.992881
90,10,1.04408
95,10,1.03128
100,10,0.95848
105,10,0.8393
110,10,0.697126
115,10,0.561421
120,10,0.457677
125,10,0.392855
130,10,0.343917
135,10,0.25791
140,10,0.0650439
145,10,-0.301652
150,10,-0.887409
155,10,-1.7003
160,10,-2.69796
165,10,-3.7739
170,10,-4.74651
175,10,-5.37572
180,10,-5.4606
0,15,-4.82479
5,15,-4.84024
10,15,-4.38142
15,15,-3.56907
20,15,-2.62766
25,15,-1.74221
30,15,-1.01328
35,15,-0.475341
40,15,-0.120569
45,15,0.0863832
50,15,0.197653
55,15,0.269626
60,15,0.347974
65,15,0.455774
70,15,0.59134
75,15,0.736116
80,15,0.86613
85,15,0.960544
90,15,1.00565
95,15,0.996164
100,15,0.936009
105,15,0.839324
110,15,0.730159
115,15,0.637938
120,15,0.586566
125,15,0.579558
130,15,0.589158
135,15,0.55753
140,15,0.410553
145,15,0.0773524
150,15,-0.491514
155,15,-1.30952
160,15,-2.3412
165,15,-3.48675
170,15,-4.56295
175,15,-5.30426
180,15,-5.4606
0,20,-4.82479
5,20,-4.77896
10,20,-4.2013
15,20,-3.27542
20,20,-2.26607
25,20,-1.35975
30,20,-0.642925
35,20,-0.136097
40,20,0.178236
45,20,0.340739
50,20,0.40553
55,20,0.42926
60,20,0.458093
65,20,0.51712
70,20,0.607959
75,20,0.715337
80,20,0.817423
85,20,0.894202
90,20,0.931945
95,20,0.925066
100,20,0.877245
105,20,0.802404
110,20,0.724143
115,20,0.670901
120,20,0.664944
125,20,0.707653
130,20,0.768936
135,20,0.788499
140,20,0.689428
145,20,0.397311
150,20,-0.142058
155,20,-0.94875
160,20,-1.99636
165,20,-3.19572
170,20,-4.36831
175,20,-5.22645
180,20,-5.4606
0,25,-4.82479
5,25,-4.71311
10,25,-4.01912
15,25,-2.99806
20,25,-1.94624
25,25,-1.04228
30,25,-0.354826
35,25,0.110457
40,25,0.380895
45,25,0.502369
50,25,0.530247
55,25,0.519592
60,25,0.514108
65,25,0.537718
70,25,0.593186
75,25,0.668062
80,25,0.743621
85,25,0.802235
90,25,0.831518
95,25,0.82628
100,25,0.78979
105,25,0.734826
110,25,0.683262
115,25,0.661644
120,25,0.69086
125,25,0.771936
130,25,0.875159
135,25,0.940278
140,25,0.888981
145,25,0.643526
150,25,0.144416
155,25,-0.635853
160,25,-1.68113
165,25,-2.91557
170,25,-4.17116
175,25,-5.14453
180,25,-5.4606
0,30,-4.82479
5,30,-4.64475
10,30,-3.84205
15,30,-2.7472
20,30,-1.67763
25,30,-0.7973
30,30,-0.155482
35,30,0.257124
40,30,0.477925
45,30,0.558451
50,30,0.555345
55,30,0.521071
60,30,0.494626
65,30,0.495849
70,30,0.526171
75,30,0.574803
80,30,0.626419
85,30,0.666932
90,30,0.686563
95,30,0.681288
100,30,0.653994
105,30,0.615728
110,30,0.585854
115,30,0.588677
120,30,0.644332
125,30,0.755146
130,30,0.893862
135,30,1.0019
140,30,1.00026
145,30,0.807773
150,30,0.359225
155,30,-0.380688
160,30,-1.40644
165,30,-2.65678
170,30,-3.97866
175,30,-5.06069
180,30,-5.4606
0,35,-4.82479
5,35,-4.57579
10,35,-3.67557
15,35,-2.52874
20,35,-1.46372
25,35,-0.625838
30,35,-0.0450385
35,35,0.302501
40,35,0.464546
45,35,0.499063
50,35,0.464662
55,35,0.411139
60,35,0.37162
65,35,0.359825
70,35,0.37365
75,35,0.402385
80,35,0.433495
85,35,0.456677
90,35,0.4654
95,35,0.457415
100,35,0.435585
105,35,0.409388
110,35,0.395912
115,35,0.417806
120,35,0.495465
125,35,0.633659
130,35,0.808397
135,35,0.962952
140,35,1.0173
145,35,0.886418
150,35,0.49917
155,35,-0.187398
160,35,-1.17801
165,35,-2.42612
170,35,-3.79641
175,35,-4.97701
180,35,-5.4606
0,40,-4.82479
5,40,-4.50799
10,40,-3.52357
15,40,-2.3453
20,40,-1.30387
25,40,-0.524395
30,40,-0.0187803
35,40,0.250425
40,40,0.34152
45,40,0.319921
50,40,0.247474
55,40,0.172123
60,40,0.120994
65,40,0.100603
70,40,0.103665
75,40,0.117889
80,40,0.132283
85,40,0.139655
90,40,0.136556
95,40,0.122727
100,40,0.101537
105,40,0.0817597
110,40,0.0794706
115,40,0.117212
120,40,0.217059
125,40,0.38689
130,40,0.605501
135,40,0.816688
140,40,0.938024
145,40,0.879858
150,40,0.56515
155,40,-0.0560561
160,40,-0.997764
165,40,-2.22738
170,40,-3.62854
175,40,-4.89535
180,40,-5.4606
0,45,-4.82479
5,45,-4.44287
10,45,-3.38856
15,45,-2.19709
20,45,-1.19456
25,45,-0.486182
30,45,-0.0679044
35,45,0.110025
40,45,0.116408
45,45,0.0252544
50,45,-0.0965745
55,45,-0.2014
60,45,-0.267433
65,45,-0.295813
70,45,-0.300231
75,45,-0.296104
80,45,-0.294362
85,45,-0.300303
90,45,-0.315104
95,45,-0.337331
100,45,-0.362752
105,45,-0.382158
110,45,-0.378602
115,45,-0.327347
120,45,-0.202705
125,45,0.00688126
130,45,0.281728
135,45,0.56372
140,45,0.765795
145,45,0.792613
150,45,0.561421
155,45,0.0162436
160,45,-0.86489
165,45,-2.06209
170,45,-3.47789
175,45,-4.81736
180,45,-5.4606
0,50,-4.82479
5,50,-4.38172
10,50,-3.27191
15,50,-2.08261
20,50,-1.13037
25,50,-0.502007
30,50,-0.180086
35,50,-0.104262
40,50,-0.195558
45,50,-0.370219
50,50,-0.55416
55,50,-0.697752
60,50,-0.783411
65,50,-0.820185
70,50,-0.829345
75,50,-0.830893
80,50,-0.837122
85,50,-0.852705
90,50,-0.877612
95,50,-0.909408
100,50,-0.943046
105,50,-0.968011
110,50,-0.964584
115,50,-0.903216
120,50,-0.752182
125,50,-0.495318
130,50,-0.152108
135,50,0.214606
140,50,0.510542
145,50,0.633477
150,50,0.495162
155,50,0.0346503
160,50,-0.776636
165,50,-1.93005
170,50,-3.34619
175,50,-4.74443
180,50,-5.4606
0,55,-4.82479
5,55,-4.32556
10,55,-3.1741
15,55,-1.99926
20,55,-1.10473
25,55,-0.561053
30,55,-0.340192
35,55,-0.373192
40,55,-0.571608
45,55,-0.840994
50,55,-1.09767
55,55,-1.28753
60,55,-1.39596
65,55,-1.44041
70,55,-1.45114
75,55,-1.45412
80,55,-1.46399
85,55,-1.48553
90,55,-1.51814
95,55,-1.55901
100,55,-1.60275
105,55,-1.63739
110,55,-1.63943
115,55,-1.57247
120,55,-1.3964
125,55,-1.08902
130,55,-0.670193
135,55,-0.209678
140,55,0.188861
145,55,0.415298
150,55,0.376046
155,55,0.00601219
160,55,-0.728888
165,55,-1.82988
170,55,-3.23429
175,55,-4.6777
180,55,-5.4606
0,60,-4.82479
5,60,-4.27521
10,60,-3.09497
15,60,-1.94381
20,60,-1.11052
25,60,-0.651697
30,60,-0.53134
35,60,-0.674019
40,60,-0.982988
45,60,-1.35275
50,60,-1.68813
55,60,-1.92827
60,60,-2.06072
65,60,-2.11222
70,60,-2.12345
75,60,-2.12721
80,60,-2.14043
85,60,-2.1674
90,60,-2.2064
95,60,-2.25425
100,60,-2.30581
105,60,-2.3487
110,60,-2.35632
115,60,-2.28541
120,60,-2.08643
125,60,-1.72986
130,60,-1.23535
135,60,-0.679914
140,60,-0.177287
145,60,0.154171
150,60,0.215671
155,60,-0.0616037
160,60,-0.716609
165,60,-1.75937
170,60,-3.14235
175,60,-4.61806
180,60,-5.4606
0,65,-4.82479
5,65,-4.23123
10,65,-3.03387
15,65,-1.91276
20,65,-1.14065
25,65,-0.762395
30,65,-0.736325
35,65,-0.982649
40,65,-1.39803
45,65,-1.86668
50,65,-2.28141
55,65,-2.57367
60,65,-2.73292
65,65,-2.79591
70,65,-2.81424
75,65,-2.82695
80,65,-2.85168
85,65,-2.88998
90,65,-2.93703
95,65,-2.98833
100,65,-3.03955
105,65,-3.0798
110,65,-3.08217
115,65,-2.99937
120,65,-2.7744
125,65,-2.37069
130,65,-1.80622
135,65,-1.16305
140,65,-0.563085
145,65,-0.131916
150,65,0.0268145
155,65,-0.159388
160,65,-0.734223
165,65,-1.71578
170,65,-3.07
175,65,-4.56616
180,65,-5.4606
0,70,-4.82479
5,70,-4.19401
10,70,-2.98984
15,70,-1.90261
20,70,-1.18853
25,70,-0.88258
30,70,-0.939253
35,70,-1.27637
40,70,-1.78629
45,70,-2.3453
50,70,-2.83614
55,70,-3.18354
60,70,-3.379
65,70,-3.46831
70,70,-3.51212
75,70,-3.55325
80,70,-3.60719
85,70,-3.66966
90,70,-3.72986
95,70,-3.78017
100,70,-3.81721
105,70,-3.83379
110,70,-3.8068
115,70,-3.69036
120,70,-3.42564
125,70,-2.97225
130,70,-2.34536
135,70,-1.62746
140,70,-0.943925
145,70,-0.424725
150,70,-0.177422
155,70,-0.278277
160,70,-0.77594
165,70,-1.69608
170,70,-3.01652
175,70,-4.52245
180,70,-5.4606
0,75,-4.82479
5,75,-4.16373
10,75,-2.96176
15,75,-1.91013
20,75,-1.24848
25,75,-1.00344
30,75,-1.12706
35,75,-1.5365
40,75,-2.12262
45,75,-2.75787
50,75,-3.31952
55,75,-3.72878
60,75,-3.97863
65,75,-4.12003
70,75,-4.21785
75,75,-4.31491
80,75,-4.42167
85,75,-4.52529
90,75,-4.60597
95,75,-4.65058
100,75,-4.6561
105,75,-4.62104
110,75,-4.53069
115,75,-4.34765
120,75,-4.0194
125,75,-3.50755
130,75,-2.82428
135,75,-2.04704
140,75,-1.29807
145,75,-0.7073
150,75,-0.384462
155,75,-0.409436
160,75,-0.83606
165,75,-1.69719
170,75,-2.98095
175,75,-4.48718
180,75,-5.4606
0,80,-4.82479
5,80,-4.14043
10,80,-2.94845
15,80,-1.93246
20,80,-1.31594
25,80,-1.11844
30,80,-1.29057
35,80,-1.75032
40,80,-2.38998
45,80,-3.08333
50,80,-3.70875
55,80,-4.18824
60,80,-4.51481
65,80,-4.73824
70,80,-4.92089
75,80,-5.10133
80,80,-5.28313
85,80,-5.44338
90,80,-5.55094
95,80,-5.5846
100,80,-5.54067
105,80,-5.42516
110,80,-5.23666
115,80,-4.95352
120,80,-4.53746
125,80,-3.95755
130,80,-3.22333
135,80,-2.40258
140,80,-1.60811
145,80,-0.965055
150,80,-0.582967
155,80,-0.544711
160,80,-0.909249
165,80,-1.71612
170,80,-2.96217
175,80,-4.46043
180,80,-5.4606
0,85,-4.82479
5,85,-4.12403
10,85,-2.9487
15,85,-1.96723
20,85,-1.38763
25,85,-1.22355
30,85,-1.42489
35,85,-1.91162
40,85,-2.58011
45,85,-3.31038
50,85,-3.98829
55,85,-4.54085
60,85,-4.95943
65,85,-5.28603
70,85,-5.57363
75,85,-5.8527
80,85,-6.11902
85,85,-6.33999
90,85,-6.47308
95,85,-6.48816
100,85,-6.38075
105,85,-6.16625
110,85,-5.8604
115,85,-5.46174
120,85,-4.94977
125,85,-4.30282
130,85,-3.52766
135,85,-2.68039
140,85,-1.86096
145,85,-1.18627
150,85,-0.763374
155,85,-0.677027
160,85,-0.990789
165,85,-1.7501
170,85,-2.959
175,85,-4.44216
180,85,-5.4606
0,90,-4.82479
5,90,-4.11431
10,90,-2.96134
15,90,-2.01258
20,90,-1.46151
25,90,-1.31706
30,90,-1.52902
35,90,-2.02011
40,90,-2.69248
45,90,-3.43566
50,90,-4.14705
55,90,-4.76115
60,90,-5.26652
65,90,-5.69289
70,90,-6.07886
75,90,-6.44373
80,90,-6.77568
85,90,-7.03589
90,90,-7.17583
95,90,-7.16161
100,90,-6.9908
105,90,-6.68826
110,90,-6.2845
115,90,-5.7943
120,90,-5.21073
125,90,-4.51893
130,90,-3.72332
135,90,-2.87013
140,90,-2.04718
145,90,-1.36222
150,90,-0.918264
155,90,-0.800726
160,90,-1.07678
165,90,-1.79673
170,90,-2.97026
175,90,-4.43216
180,90,-5.4606
0,95,-4.82479
5,95,-4.11096
10,95,-2.98527
15,95,-2.06709
20,95,-1.53661
25,95,-1.3992
30,95,-1.60508
35,95,-2.07997
40,95,-2.73234
45,95,-3.46204
50,95,-4.17865
55,95,-4.82403
60,95,-5.38297
65,95,-5.87153
70,95,-6.31221
75,95,-6.7125
80,95,-7.05558
85,95,-7.3042
90,95,-7.41639
95,95,-7.3665
100,95,-7.15859
105,95,-6.82101
110,95,-6.38627
115,95,-5.87173
120,95,-5.27393
125,95,-4.581
130,95,-3.79717
135,95,-2.96374
140,95,-2.1604
145,95,-1.48717
150,95,-1.04266
155,95,-0.911828
160,95,-1.1643
165,95,-1.85401
170,95,-2.99478
175,95,-4.43014
180,95,-5.4606
0,100,-4.82479
5,100,-4.11357
10,100,-3.01943
15,100,-2.12978
20,100,-1.61285
25,100,-1.47165
30,100,-1.65724
35,100,-2.09821
40,100,-2.70877
45,100,-3.3978
50,100,-4.0849
55,100,-4.71716
60,100,-5.27516
65,100,-5.76301
70,100,-6.19004
75,100,-6.55584
80,100,-6.84478
85,100,-7.03094
90,100,-7.09044
95,100,-7.01423
100,100,-6.81287
105,100,-6.50922
110,100,-6.12387
115,100,-5.6631
120,100,-5.11762
125,100,-4.47501
130,100,-3.74109
135,100,-2.95676
140,100,-2.19778
145,100,-1.55874
150,100,-1.13428
155,100,-1.00822
160,100,-1.25147
165,100,-1.92036
170,100,-3.03145
175,100,-4.4357
180,100,-5.4606
0,105,-4.82479
5,105,-4.12168
10,105,-3.06284
15,105,-2.19995
20,105,-1.69072
25,105,-1.53699
30,105,-1.69089
35,105,-2.08347
40,105,-2.63341
45,105,-3.2564
50,105,-3.87911
55,105,-4.45196
60,105,-4.95269
65,105,-5.37843
70,105,-5.73238
75,105,-6.01342
80,105,-6.21341
85,105,-6.32166
90,105,-6.33245
95,105,-6.25001
100,105,-6.0871
105,105,-5.85754
110,105,-5.56691
115,105,-5.20702
120,105,-4.75908
125,105,-4.20725
130,105,-3.55765
135,105,-2.85124
140,105,-2.16133
145,105,-1.57844
150,105,-1.19379
155,105,-1.0897
160,105,-1.33745
165,105,-1.99462
170,105,-3.07919
175,105,-4.44834
180,105,-5.4606
0,110,-4.82479
5,110,-4.13474
10,110,-3.11448
15,110,-2.27711
20,110,-1.77114
25,110,-1.59829
30,110,-1.71204
35,110,-2.04529
40,110,-2.51989
45,110,-3.05639
50,110,-3.58661
55,110,-4.06443
60,110,-4.46834
65,110,-4.79496
70,110,-5.04833
75,110,-5.23171
80,110,-5.34557
85,110,-5.39059
90,110,-5.37153
95,110,-5.29813
100,110,-5.18175
105,110,-5.02896
110,110,-4.83533
115,110,-4.58312
120,110,-4.24651
125,110,-3.80548
130,110,-3.26351
135,110,-2.65843
140,110,-2.05929
145,110,-1.55215
150,110,-1.22482
155,110,-1.1579
160,110,-1.42237
165,110,-2.07599
170,110,-3.13695
175,110,-4.4675
180,110,-5.4606
0,115,-4.82479
5,115,-4.15214
10,115,-3.17334
15,115,-2.36082
20,115,-1.85512
25,115,-1.65884
30,115,-1.72699
35,115,-1.99391
40,115,-2.38375
45,115,-2.82084
50,115,-3.24206
55,115,-3.60646
60,115,-3.89725
65,115,-4.11513
70,115,-4.26819
75,115,-4.36451
80,115,-4.4103
85,115,-4.41182
90,115,-4.37749
95,115,-4.31748
100,115,-4.2405
105,115,-4.14873
110,115,-4.03335
115,115,-3.87338
120,115,-3.64079
125,115,-3.31299
130,115,-2.88889
135,115,-2.3996
140,115,-1.90672
145,115,-1.49014
150,115,-1.2337
155,115,-1.21597
160,115,-1.50702
165,115,-2.16391
170,115,-3.20366
175,115,-4.49253
180,115,-5.4606
0,120,-4.82479
5,120,-4.17322
10,120,-3.23834
15,120,-2.4506
20,120,-1.94362
25,120,-1.72182
30,120,-1.74212
35,120,-1.94022
40,120,-2.24227
45,120,-2.5764
50,120,-2.88527
55,120,-3.13497
60,120,-3.31547
65,120,-3.43275
70,120,-3.49861
75,120,-3.52404
80,120,-3.51785
85,120,-3.48813
90,120,-3.44364
95,120,-3.39328
100,120,-3.34335
105,120,-3.29391
110,120,-3.23533
115,120,-3.14751
120,120,-3.0038
125,120,-2.78109
130,120,-2.47369
135,120,-2.10412
140,120,-1.72425
145,120,-1.40612
150,120,-1.22869
155,120,-1.26802
160,120,-1.59265
165,120,-2.25787
170,120,-3.2782
175,120,-4.52271
180,120,-5.4606
0,125,-4.82479
5,125,-4.19725
10,125,-3.30828
15,125,-2.54575
20,125,-2.03727
25,125,-1.79004
30,125,-1.76356
35,125,-1.8953
40,125,-2.11369
45,125,-2.35106
50,125,-2.55646
55,125,-2.70344
60,125,-2.78841
65,125,-2.82139
70,125,-2.81621
75,125,-2.7849
80,125,-2.73704
85,125,-2.68106
90,125,-2.62524
95,125,-2.57719
100,125,-2.54186
105,125,-2.51869
110,125,-2.49908
115,125,-2.46548
120,125,-2.39409
125,125,-2.26257
130,125,-2.06149
135,125,-1.80516
140,125,-1.53532
145,125,-1.31537
150,125,-1.21875
155,125,-1.31837
160,125,-1.68048
165,125,-2.35733
170,125,-3.35934
175,125,-4.55726
180,125,-5.4606
0,130,-4.82479
5,130,-4.22348
10,130,-3.38181
15,130,-2.64526
20,130,-2.13612
25,130,-1.86548
30,130,-1.79646
35,130,-1.86918
40,130,-2.01495
45,130,-2.17041
50,130,-2.29058
55,130,-2.35518
60,130,-2.3651
65,130,-2.33255
70,130,-2.27188
75,130,-2.19525
80,130,-2.11238
85,130,-2.03177
90,130,-1.96142
95,130,-1.90837
100,130,-1.87722
105,130,-1.86784
110,130,-1.87322
115,130,-1.87852
120,130,-1.86276
125,130,-1.80473
130,130,-1.69255
135,130,-1.53399
140,130,-1.36208
145,130,-1.23217
150,130,-1.212
155,130,-1.37075
160,130,-1.7713
165,130,-2.46144
170,130,-3.44572
175,130,-4.59532
180,130,-5.4606
0,135,-4.82479
5,135,-4.2511
10,135,-3.45739
15,135,-2.74767
20,135,-2.2394
25,135,-1.94872
30,135,-1.84385
35,135,-1.86877
40,135,-1.95819
45,135,-2.0525
50,135,-2.11086
55,135,-2.11654
60,135,-2.07248
65,135,-1.9915
70,135,-1.88802
75,135,-1.77444
80,135,-1.66093
85,135,-1.55645
90,135,-1.46927
95,135,-1.40659
100,135,-1.37322
105,135,-1.36968
110,135,-1.39023
115,135,-1.42187
120,135,-1.44565
125,135,-1.44146
130,135,-1.39628
135,135,-1.31384
140,135,-1.22107
145,135,-1.16699
150,135,-1.21411
155,135,-1.42736
160,135,-1.86513
165,135,-2.56898
170,135,-3.53577
175,135,-4.63601
180,135,-5.4606
0,140,-4.82479
5,140,-4.27927
10,140,-3.53328
15,140,-2.85093
20,140,-2.34522
25,140,-2.03834
30,140,-1.90529
35,140,-1.89528
40,140,-1.9467
45,140,-2.00226
50,140,-2.02229
55,140,-1.99023
60,140,-1.90861
65,140,-1.79012
70,140,-1.65004
75,140,-1.50244
80,140,-1.35939
85,140,-1.23144
90,140,-1.12779
95,140,-1.05597
100,140,-1.02065
105,140,-1.02199
110,140,-1.05408
115,140,-1.10422
120,140,-1.15436
125,140,-1.1854
130,140,-1.18465
135,140,-1.15463
140,140,-1.11941
145,140,-1.1241
150,140,-1.22695
155,140,-1.48832
160,140,-1.96084
165,140,-2.67816
170,140,-3.62769
175,140,-4.67836
180,140,-5.4606
0,145,-4.82479
5,145,-4.30715
10,145,-3.60749
15,145,-2.95242
20,145,-2.45039
25,145,-2.13046
30,145,-1.97582
35,145,-1.94218
40,145,-1.97159
45,145,-2.00719
50,145,-2.007
55,145,-1.9509
60,145,-1.83887
65,145,-1.68378
70,145,-1.50397
75,145,-1.31819
80,145,-1.14309
85,145,-0.992382
90,145,-0.876577
95,145,-0.802712
100,145,-0.773628
105,145,-0.786988
110,145,-0.834455
115,145,-0.901774
120,145,-0.970623
125,145,-1.02297
130,145,-1.04795
135,145,-1.04967
140,145,-1.05252
145,145,-1.10021
150,145,-1.24791
155,145,-1.55125
160,145,-2.05608
165,145,-2.78662
170,145,-3.71946
175,145,-4.72141
180,145,-5.4606
0,150,-4.82479
5,150,-4.33388
10,150,-3.67787
15,150,-3.04886
20,150,-2.55044
25,150,-2.21862
30,150,-2.04565
35,150,-1.99454
40,150,-2.01082
45,150,-2.03632
50,150,-2.02366
55,150,-1.94617
60,150,-1.80008
65,150,-1.60002
70,150,-1.37094
75,150,-1.13999
80,150,-0.930853
85,150,-0.761058
90,150,-0.641541
95,150,-0.57703
100,150,-0.56639
105,150,-0.60272
110,150,-0.673516
115,150,-0.761604
120,150,-0.847641
125,150,-0.914719
130,150,-0.954855
135,150,-0.975696
140,150,-1.00426
145,150,-1.08473
150,150,-1.27016
155,150,-1.61154
160,150,-2.14733
165,150,-2.89142
170,150,-3.80885
175,150,-4.76415
180,150,-5.4606
0,155,-4.82479
5,155,-4.35863
10,155,-3.74207
15,155,-3.13646
20,155,-2.63983
25,155,-2.29436
30,155,-2.10125
35,155,-2.03091
40,155,-2.03212
45,155,-2.04448
50,155,-2.01381
55,155,-1.90605
60,155,-1.71478
65,155,-1.45939
70,155,-1.17478
75,155,-0.898311
80,155,-0.660254
85,155,-0.480053
90,155,-0.366755
95,155,-0.320973
100,155,-0.33665
105,155,-0.402146
110,155,-0.501052
115,155,-0.613586
120,155,-0.719479
125,155,-0.802837
130,155,-0.858455
135,155,-0.897621
140,155,-0.950387
145,155,-1.062
150,155,-1.28399
155,155,-1.66301
160,155,-2.23024
165,155,-2.98915
170,155,-3.89343
175,155,-4.8056
180,155,-5.4606
0,160,-4.82479
5,160,-4.3806
10,160,-3.79765
15,160,-3.21105
20,160,-2.71239
25,160,-2.34834
30,160,-2.1279
35,160,-2.02815
40,160,-2.00081
45,160,-1.9836
50,160,-1.91683
55,160,-1.76178
60,160,-1.5133
65,160,-1.19886
70,160,-0.863842
75,160,-0.553173
80,160,-0.299479
85,160,-0.120181
90,160,-0.0200245
95,160,0.00504693
100,160,-0.0350677
105,160,-0.126182
110,160,-0.250572
115,160,-0.388053
120,160,-0.518574
125,160,-0.626975
130,160,-0.709282
135,160,-0.778291
140,160,-0.865255
145,160,-1.01556
150,160,-1.27918
155,160,-1.69909
160,160,-2.30006
165,160,-3.07613
170,160,-3.97068
175,160,-4.84479
180,160,-5.4606
0,165,-4.82479
5,165,-4.39908
10,165,-3.84219
15,165,-3.26833
20,165,-2.76199
25,165,-2.37207
30,165,-2.11334
35,165,-1.96818
40,165,-1.89103
45,165,-1.81924
50,165,-1.69161
55,165,-1.47064
60,165,-1.15776
65,165,-0.789843
70,165,-0.41916
75,165,-0.0919871
80,165,0.162444
85,165,0.332283
90,165,0.418158
95,165,0.427805
100,165,0.372506
105,165,0.265685
110,165,0.122894
115,165,-0.0382092
120,165,-0.199407
125,165,-0.346
130,165,-0.473046
135,165,-0.591457
140,165,-0.730365
145,165,-0.933164
150,165,-1.24776
155,165,-1.71419
160,165,-2.35229
165,165,-3.14859
170,165,-4.03806
175,165,-4.88081
180,165,-5.4606
0,170,-4.82479
5,170,-4.41341
10,170,-3.87338
15,170,-3.30419
20,170,-2.78324
25,170,-2.35946
30,170,-2.05103
35,170,-1.84408
40,170,-1.69569
45,170,-1.54525
50,170,-1.33537
55,170,-1.03632
60,170,-0.659802
65,170,-0.250136
70,170,0.139552
75,170,0.468
80,170,0.713523
85,170,0.871326
90,170,0.946808
95,170,0.949462
100,170,0.889357
105,170,0.776399
110,170,0.621432
115,170,0.437574
120,170,0.240042
125,170,0.0431373
130,170,-0.145684
135,170,-0.332625
140,170,-0.54146
145,170,-0.811083
150,170,-1.1863
155,170,-1.70476
160,170,-2.38317
165,170,-3.20297
170,170,-4.09313
175,170,-4.91284
180,170,-5.4606
0,175,-4.82479
5,175,-4.42308
10,175,-3.88917
15,175,-3.31496
20,175,-2.77206
25,175,-2.30783
30,175,-1.94181
35,175,-1.66243
40,175,-1.42957
45,175,-1.18731
50,175,-0.886842
55,175,-0.510439
60,175,-0.0800708
65,175,0.356876
70,175,0.752037
75,175,1.07298
80,175,1.30682
85,175,1.45512
90,175,1.5263
95,175,1.52957
100,175,1.47201
105,175,1.3588
110,175,1.19533
115,175,0.989816
120,175,0.754168
125,175,0.502059
130,175,0.243616
135,175,-0.0217169
140,175,-0.310599
145,175,-0.655461
150,175,-1.09676
155,175,-1.66987
160,175,-2.38996
165,175,-3.2361
170,175,-4.13368
175,175,-4.94018
180,175,-5.4606
0,180,-4.82479
5,180,-4.42772
10,180,-3.88789
15,180,-3.29775
20,180,-2.72597
25,180,-2.2179
30,180,-1.79289
35,180,-1.44046
40,180,-1.12345
45,180,-0.792678
50,180,-0.410603
55,180,0.0281315
60,180,0.494638
65,180,0.943416
70,180,1.33428
75,180,1.6444
80,180,1.86847
85,180,2.01221
90,180,2.08487
95,180,2.09379
100,180,2.04245
105,180,1.93154
110,180,1.76197
115,180,1.53796
120,180,1.26861
125,180,0.966631
130,180,0.643804
