Theta[deg],Phi[deg],dB(GainTotal)
135,180,0.304195
140,180,-0.0620389
145,180,-0.480218
150,180,-0.985506
155,180,-1.61081
160,180,-2.37105
165,180,-3.24541
170,180,-4.15785
175,180,-4.96227
180,180,-5.4606
0,185,-4.82479
5,185,-4.42713
10,185,-3.8684
15,185,-3.25059
20,185,-2.64398
25,185,-2.09272
30,185,-1.61482
35,185,-1.19966
40,185,-0.812897
45,185,-0.412919
50,185,0.0266092
55,185,0.501724
60,185,0.981683
65,185,1.42688
70,185,1.80637
75,185,2.10546
80,185,2.32363
85,185,2.46794
90,185,2.54629
95,185,2.56324
100,185,2.51896
105,185,2.41103
110,185,2.23769
115,185,2.00089
120,185,1.70791
125,185,1.37033
130,185,1.00013
135,185,0.603693
140,185,0.175941
145,185,-0.302314
150,185,-0.860883
155,185,-1.53012
160,185,-2.32565
165,185,-3.229
170,185,-4.16426
175,185,-4.97872
180,185,-5.4606
0,190,-4.82479
5,190,-4.42129
10,190,-3.83018
15,190,-3.1726
20,190,-2.52634
25,190,-1.93605
30,190,-1.4176
35,190,-0.958799
40,190,-0.527438
45,190,-0.0889563
50,190,0.374209
55,190,0.853717
60,190,1.32218
65,190,1.74856
70,190,2.11066
75,190,2.39917
80,190,2.61497
85,190,2.76352
90,190,2.8497
95,190,2.87492
100,190,2.83704
105,190,2.73231
110,190,2.5584
115,190,2.31695
120,190,2.01461
125,190,1.66182
130,190,1.26928
135,190,0.842998
140,190,0.379574
145,190,-0.13633
150,190,-0.730192
155,190,-1.43018
160,190,-2.25351
165,190,-3.18574
170,190,-4.1521
175,190,-4.98934
180,190,-5.4606
0,195,-4.82479
5,195,-4.41038
10,195,-3.77341
15,195,-3.06402
20,195,-2.37407
25,195,-1.75091
30,195,-1.20755
35,195,-0.728797
40,195,-0.283505
45,195,0.15742
50,195,0.606381
55,195,1.05595
60,195,1.48661
65,195,1.8777
70,195,2.21463
75,195,2.49063
80,195,2.70475
85,195,2.85833
90,195,2.9521
95,195,2.9846
100,195,2.95259
105,195,2.85281
110,195,2.6842
115,195,2.44966
120,195,2.15615
125,195,1.81283
130,195,1.42766
135,195,1.00365
140,195,0.535851
145,195,0.0099001
150,195,-0.597117
155,195,-1.31205
160,195,-2.1545
165,195,-3.1153
170,195,-4.12123
175,195,-4.99417
180,195,-5.4606
0,200,-4.82479
5,200,-4.39478
10,200,-3.69901
15,200,-2.92626
20,200,-2.18878
25,200,-1.53872
30,200,-0.985733
35,200,-0.510443
40,200,-0.0816151
45,200,0.326278
50,200,0.723941
55,200,1.10915
60,200,1.47373
65,200,1.80889
70,200,2.10713
75,200,2.36235
80,200,2.56954
85,200,2.72447
90,200,2.82326
95,200,2.86218
100,200,2.83803
105,200,2.74928
110,200,2.59731
115,200,2.38697
120,200,2.12553
125,200,1.8201
130,200,1.47433
135,200,1.08589
140,200,0.645618
145,200,0.13761
150,200,-0.460358
155,200,-1.17486
160,200,-2.02852
165,200,-3.01819
170,200,-4.07223
175,200,-4.99344
180,200,-5.4606
0,205,-4.82479
5,205,-4.37507
10,205,-3.60866
15,205,-2.76179
20,205,-1.97257
25,205,-1.29939
30,205,-0.748259
35,205,-0.294921
40,205,0.0928507
45,205,0.438531
50,205,0.753258
55,205,1.04216
60,205,1.31023
65,205,1.56203
70,205,1.7982
75,205,2.01368
80,205,2.19953
85,205,2.34607
90,205,2.44524
95,205,2.4916
100,205,2.48257
105,205,2.41859
110,205,2.30322
115,205,2.14239
120,205,1.94224
125,205,1.70603
130,205,1.43128
135,205,1.10876
140,205,0.723611
145,205,0.257002
150,205,-0.313847
155,205,-1.01605
160,205,-1.87568
165,205,-2.89583
170,205,-4.00638
175,205,-4.98762
180,205,-5.4606
0,210,-4.82479
5,210,-4.35203
10,210,-3.50469
15,210,-2.5742
20,210,-1.72833
25,210,-1.03229
30,210,-0.48828
35,210,-0.0669045
40,210,0.265672
45,210,0.53175
50,210,0.743188
55,210,0.911691
60,210,1.05451
65,210,1.19021
70,210,1.33019
75,210,1.47425
80,210,1.61311
85,210,1.73435
90,210,1.82734
95,210,1.8854
100,210,1.90595
105,210,1.88994
110,210,1.84066
115,210,1.76206
120,210,1.65598
125,210,1.51923
130,210,1.34175
135,210,1.10718
140,210,0.795357
145,210,0.384651
150,210,-0.148579
155,210,-0.832453
160,210,-1.69665
165,210,-2.75058
170,210,-3.92567
175,210,-4.97738
180,210,-5.4606
0,215,-4.82479
5,215,-4.32658
10,215,-3.39006
15,215,-2.36802
20,215,-1.46
25,215,-0.737641
30,215,-0.199093
35,215,0.190285
40,215,0.466591
45,215,0.651641
50,215,0.757159
55,215,0.798171
60,215,0.799951
65,215,0.792865
70,215,0.80118
75,215,0.835554
80,215,0.893783
85,215,0.966901
90,215,1.0452
95,215,1.12133
100,215,1.19078
105,215,1.25102
110,215,1.30016
115,215,1.33511
120,215,1.34943
125,215,1.33146
130,215,1.26383
135,215,1.12472
140,215,0.890727
145,215,0.538704
150,215,0.0443711
155,215,-0.621758
160,215,-1.49322
165,215,-2.58578
170,215,-3.83272
175,215,-4.9636
180,215,-5.4606
0,220,-4.82479
5,220,-4.29982
10,220,-3.26824
15,220,-2.14864
20,220,-1.1729
25,220,-0.417919
30,220,0.122559
35,220,0.488629
40,220,0.719694
45,220,0.838421
50,220,0.856143
55,220,0.787942
60,220,0.661363
65,220,0.512943
70,220,0.377729
75,220,0.280438
80,220,0.233142
85,220,0.238185
90,220,0.292178
95,220,0.388473
100,220,0.518126
105,220,0.67027
110,220,0.832338
115,220,0.989984
120,220,1.12658
125,220,1.2226
130,220,1.25558
135,220,1.20113
140,220,1.03479
145,220,0.732944
150,220,0.270522
155,220,-0.384064
160,220,-1.26872
165,220,-2.40571
170,220,-3.73069
175,220,-4.9473
180,220,-5.4606
0,225,-4.82479
5,225,-4.27291
10,225,-3.14303
15,225,-1.92214
20,225,-0.873783
25,225,-0.0786816
30,225,0.474157
35,225,0.830504
40,225,1.0344
45,225,1.11155
50,225,1.07441
55,225,0.937492
60,225,0.727259
65,225,0.480937
70,225,0.238391
75,225,0.0341835
80,225,-0.106349
85,225,-0.167746
90,225,-0.144273
95,225,-0.0398855
100,225,0.132587
105,225,0.353689
110,225,0.600329
115,225,0.848181
120,225,1.07276
125,225,1.24939
130,225,1.35287
135,225,1.3577
140,225,1.23885
145,225,0.971799
150,225,0.529545
155,225,-0.122802
160,225,-1.0282
165,225,-2.21547
170,225,-3.62314
175,225,-4.92963
180,225,-5.4606
0,230,-4.82479
5,230,-4.24712
10,230,-3.01849
15,230,-1.69505
20,230,-0.570652
25,230,0.271433
30,230,0.846897
35,230,1.20704
40,230,1.40152
45,230,1.4613
50,230,1.40246
55,230,1.24066
60,230,1.00152
65,230,0.720908
70,230,0.438499
75,230,0.190823
80,230,0.00718542
85,230,-0.0920072
90,230,-0.0964196
95,230,-0.00690194
100,230,0.164696
105,230,0.397837
110,230,0.666893
115,230,0.944354
120,230,1.2026
125,230,1.41428
130,230,1.55199
135,230,1.58833
140,230,1.49623
145,230,1.24854
150,230,0.814679
155,230,0.155225
160,230,-0.778228
165,230,-2.02081
170,230,-3.51395
175,230,-4.91184
180,230,-5.4606
0,235,-4.82479
5,235,-4.22373
10,235,-2.89875
15,235,-1.47408
20,235,-0.272308
25,235,0.621506
30,235,1.22712
35,235,1.60046
40,235,1.79679
45,235,1.85351
50,235,1.79225
55,235,1.6317
60,235,1.39789
65,235,1.12539
70,235,0.851609
75,235,0.61004
80,235,0.426405
85,235,0.317849
90,235,0.293288
95,235,0.353493
100,235,0.49113
105,235,0.691523
110,235,0.934296
115,235,1.19524
120,235,1.44771
125,235,1.66323
130,235,1.81189
135,235,1.86289
140,235,1.78527
145,235,1.5475
150,235,1.11413
155,235,0.440643
160,235,-0.526518
165,235,-1.82783
170,235,-3.40711
175,235,-4.89524
180,235,-5.4606
0,240,-4.82479
5,240,-4.20401
10,240,-2.7879
15,240,-1.26588
20,240,0.0122002
25,240,0.959602
30,240,1.59889
35,240,1.98899
40,240,2.18959
45,240,2.24433
50,240,2.18106
55,240,2.0225
60,240,1.79602
65,240,1.53555
70,240,1.27643
75,240,1.04874
80,240,0.873495
85,240,0.762949
90,240,0.722856
95,240,0.754313
100,240,0.854173
105,240,1.01455
110,240,1.22224
115,240,1.45855
120,240,1.69938
125,240,1.91573
130,240,2.07459
135,240,2.1406
140,240,2.07766
145,240,1.8489
150,240,1.4137
155,240,0.722812
160,240,-0.281284
165,240,-1.64279
170,240,-3.30665
175,240,-4.8811
180,240,-5.4606
0,245,-4.82479
5,245,-4.18917
10,245,-2.68988
15,245,-1.07684
20,245,0.274125
25,245,1.27405
30,245,1.94675
35,245,2.35203
40,245,2.55197
45,245,2.59519
50,245,2.51535
55,245,2.33959
60,245,2.09745
65,245,1.82349
70,245,1.55299
75,245,1.31535
80,245,1.12995
85,245,1.00672
90,245,0.949554
95,245,0.959566
100,245,1.03615
105,245,1.17601
110,245,1.37111
115,245,1.60663
120,245,1.8597
125,245,2.09931
130,245,2.28799
135,245,2.38467
140,245,2.34743
145,245,2.1341
150,245,1.69953
155,245,0.991158
160,245,-0.0506764
165,245,-1.47178
170,245,-3.21648
175,245,-4.87069
180,245,-5.4606
0,250,-4.82479
5,250,-4.18034
10,250,-2.60838
15,250,-0.91284
20,250,0.505454
25,250,1.55445
30,250,2.25759
35,250,2.67352
40,250,2.8644
45,250,2.88158
50,250,2.76328
55,250,2.54078
60,250,2.24638
65,250,1.91678
70,250,1.59006
75,250,1.29928
80,250,1.0675
85,250,0.90729
90,250,0.824064
95,250,0.819964
100,250,0.895684
105,250,1.04951
110,250,1.27446
115,250,1.55509
120,250,1.86524
125,250,2.16822
130,250,2.41963
135,250,2.57168
140,250,2.57693
145,250,2.38905
150,250,1.96009
155,250,1.23616
160,250,0.157678
165,250,-1.32058
170,250,-3.1403
175,250,-4.86516
180,250,-5.4606
0,255,-4.82479
5,255,-4.17851
10,255,-2.54674
15,255,-0.779204
20,255,0.699176
25,255,1.79217
30,255,2.52157
35,255,2.94333
40,255,3.11739
45,255,3.09516
50,255,2.91693
55,255,2.61649
60,255,2.22821
65,255,1.79136
70,255,1.34903
75,255,0.942961
80,255,0.607673
85,255,0.367416
90,255,0.23684
95,255,0.223405
100,255,0.328798
105,255,0.548097
110,255,0.867275
115,255,1.2607
120,255,1.69044
125,255,2.10843
130,255,2.46117
135,255,2.69492
140,255,2.75899
145,255,2.60568
150,255,2.18691
155,255,1.44985
160,255,0.336942
165,255,-1.19448
170,255,-3.08152
175,255,-4.86555
180,255,-5.4606
0,260,-4.82479
5,260,-4.18449
10,260,-2.50792
15,260,-0.680593
20,260,0.849367
25,260,1.98044
30,260,2.73204
35,260,3.15657
40,260,3.31016
45,260,3.24145
50,260,2.98921
55,260,2.58608
60,260,2.06513
65,260,1.46522
70,260,0.833132
75,260,0.222273
80,260,-0.311049
85,260,-0.712928
90,260,-0.938647
95,260,-0.960492
100,260,-0.774301
105,260,-0.401326
110,260,0.115777
115,260,0.720366
120,260,1.34926
125,260,1.93862
130,260,2.42811
135,260,2.7633
140,260,2.89587
145,260,2.78126
150,260,2.37447
155,260,1.6258
160,260,0.481154
165,260,-1.09827
170,260,-3.04317
175,260,-4.87272
180,260,-5.4606
0,265,-4.82479
5,265,-4.19888
10,265,-2.49444
15,265,-0.621003
20,265,0.951147
25,265,2.11415
30,265,2.88478
35,265,3.31202
40,265,3.44752
45,265,3.33502
50,265,3.00804
55,265,2.49301
60,265,1.81508
65,265,1.00405
70,265,0.0997827
75,265,-0.841329
80,265,-1.73729
85,265,-2.47314
90,265,-2.91256
95,265,-2.94786
100,265,-2.56569
105,265,-1.85774
110,265,-0.96321
115,265,-0.010164
120,265,0.904669
125,265,1.71118
130,265,2.35634
135,265,2.79718
140,265,2.99604
145,265,2.9165
150,265,2.51926
155,265,1.75886
160,265,0.585174
165,265,-1.03612
170,265,-3.02787
175,265,-4.88731
180,265,-5.4606
0,270,-4.82479
5,270,-4.22206
10,270,-2.50831
15,270,-0.60378
20,270,1.00054
25,270,2.18941
30,270,2.97711
35,270,3.41006
40,270,3.53601
45,270,3.39323
50,270,3.0079
55,270,2.39624
60,270,1.5687
65,270,0.533757
70,270,-0.698467
75,270,-2.10727
80,270,-3.63254
85,270,-5.10022
90,270,-6.11599
95,270,-6.18271
100,270,-5.24719
105,270,-3.77944
110,270,-2.21778
115,270,-0.772176
120,270,0.479619
125,270,1.50752
130,270,2.29376
135,270,2.82121
140,270,3.06952
145,270,3.013
150,270,2.61858
155,270,1.8447
160,270,0.644566
165,270,-1.01164
170,270,-3.03776
175,270,-4.90974
180,270,-5.4606
0,275,-4.82479
5,275,-4.25413
10,275,-2.55102
15,275,-0.631647
20,275,0.9943
25,275,2.20315
30,275,3.00692
35,275,3.45078
40,275,3.58023
45,275,3.42951
50,275,3.01836
55,275,2.35328
60,275,1.42963
65,275,0.231033
70,275,-1.27664
75,275,-3.15731
80,275,-5.51605
85,275,-8.44463
90,275,-11.4072
95,275,-11.5618
100,275,-8.64349
105,275,-5.62936
110,275,-3.19886
115,275,-1.27788
120,275,0.238828
125,275,1.41557
130,275,2.28415
135,275,2.8549
140,275,3.12291
145,275,3.0708
150,275,2.66948
155,275,1.87932
160,275,0.655461
165,275,-1.02786
170,275,-3.07442
175,275,-4.94013
180,275,-5.4606
0,280,-4.82479
5,280,-4.29489
10,280,-2.62342
15,280,-0.706717
20,280,0.929751
25,280,2.15272
30,280,2.97193
35,280,3.43269
40,280,3.58037
45,280,3.44793
50,280,3.05248
55,280,2.39642
60,280,1.46935
65,280,0.246513
70,280,-1.32033
75,280,-3.32475
80,280,-5.95046
85,280,-9.53693
90,280,-14.0865
95,280,-14.1394
100,280,-9.55026
105,280,-5.90958
110,280,-3.25407
115,280,-1.2442
120,280,0.304909
125,280,1.48684
130,280,2.3471
135,280,2.90357
140,280,3.15542
145,280,3.08671
150,280,2.66802
155,280,1.85882
160,280,0.61447
165,280,-1.08718
170,280,-3.13884
175,280,-4.97831
180,280,-5.4606
0,285,-4.82479
5,285,-4.34384
10,285,-2.72574
15,285,-0.830477
20,285,0.804664
25,285,2.03557
30,285,2.86934
35,285,3.35218
40,285,3.5312
45,285,3.441
50,285,3.10052
55,285,2.51531
60,285,1.68158
65,285,0.58896
70,285,-0.778488
75,285,-2.43882
80,285,-4.38705
85,285,-6.47728
90,285,-8.07343
95,285,-8.02604
100,285,-6.36853
105,285,-4.25888
110,285,-2.31436
115,285,-0.673928
120,285,0.658875
125,285,1.70139
130,285,2.46585
135,285,2.95435
140,285,3.15757
145,285,3.05381
150,285,2.60904
155,285,1.77927
160,285,0.518678
165,285,-1.19135
170,285,-3.23131
175,285,-5.02378
180,285,-5.4606
0,290,-4.82479
5,290,-4.40015
10,290,-2.85737
15,290,-1.0037
20,290,0.617222
25,290,1.8492
30,290,2.69561
35,290,3.2036
40,290,3.42286
45,290,3.39136
50,290,3.13278
55,290,2.66019
60,290,1.98235
65,290,1.11049
70,290,0.0661622
75,290,-1.10579
80,290,-2.31209
85,290,-3.37243
90,290,-4.01006
95,290,-3.9808
100,290,-3.29704
105,290,-2.21613
110,290,-1.01259
115,290,0.139353
120,290,1.15044
125,290,1.97662
130,290,2.59293
135,290,2.97941
140,290,3.11291
145,290,2.96229
150,290,2.48654
155,290,1.63684
160,290,0.365744
165,290,-1.34131
170,290,-3.35132
175,290,-5.07573
180,290,-5.4606
0,295,-4.82479
5,295,-4.46267
10,295,-3.01681
15,295,-1.2263
20,295,0.366118
25,295,1.59113
30,295,2.44669
35,295,2.97993
40,295,3.24267
45,295,3.27624
50,295,3.10935
55,295,2.76272
60,295,2.256
65,295,1.61487
70,295,0.877585
75,295,0.101655
80,295,-0.630603
85,295,-1.21328
90,295,-1.53614
95,295,-1.52628
100,295,-1.18746
105,295,-0.598187
110,295,0.129459
115,295,0.890331
120,295,1.60325
125,295,2.21021
130,295,2.6689
135,295,2.9444
140,295,3.00188
145,295,2.80115
150,295,2.29436
155,295,1.42818
160,295,0.154121
165,295,-1.53702
170,295,-3.49741
175,295,-5.13298
180,295,-5.4606
0,300,-4.82479
5,300,-4.52991
10,300,-3.2015
15,300,-1.497
20,300,0.0508264
25,300,1.25915
30,300,2.11834
35,300,2.67361
40,300,2.97725
45,300,3.07231
50,300,2.9907
55,300,2.75817
60,300,2.40067
65,300,1.94945
70,300,1.44413
75,300,0.933572
80,300,0.474
85,300,0.123408
90,300,-0.0684687
95,300,-0.0723997
100,300,0.111396
105,300,0.453143
110,300,0.902364
115,300,1.40016
120,300,1.88898
125,300,2.31745
130,300,2.64067
135,300,2.81746
140,300,2.8061
145,300,2.56026
150,300,2.02727
155,300,1.15094
160,300,-0.116556
165,300,-1.77711
170,300,-3.66704
175,300,-5.19402
180,300,-5.4606
0,305,-4.82479
5,305,-4.6001
10,305,-3.40756
15,305,-1.81288
20,305,-0.327859
25,305,0.851946
30,305,1.70688
35,305,2.27763
40,305,2.61447
45,305,2.75946
50,305,2.7448
55,305,2.59796
60,305,2.34722
65,305,2.02485
70,305,1.66741
75,305,1.31407
80,305,1.00356
85,305,0.770477
90,305,0.641327
95,305,0.631026
100,305,0.740528
105,305,0.956377
110,305,1.25244
115,305,1.59332
120,305,1.93841
125,305,2.24532
130,305,2.47177
135,305,2.57544
140,305,2.51195
145,305,2.23234
150,305,1.68203
155,305,0.804538
160,305,-0.4449
165,305,-2.0585
170,305,-3.85636
175,305,-5.25706
180,305,-5.4606
0,310,-4.82479
5,310,-4.6712
10,310,-3.62969
15,310,-2.16878
20,310,-0.766912
25,310,0.3701
30,310,1.21034
35,310,1.78705
40,310,2.14547
45,310,2.32361
50,310,2.35085
55,310,2.25344
60,310,2.05974
65,310,1.80214
70,310,1.51579
75,310,1.23565
80,310,0.993234
85,310,0.814022
90,310,0.715861
95,310,0.708079
100,310,0.79106
105,310,0.956089
110,310,1.18553
115,310,1.4536
120,310,1.72793
125,310,1.97163
130,310,2.14511
135,310,2.20694
140,310,2.11302
145,310,1.81479
150,310,1.25882
155,310,0.391217
160,310,-0.82694
165,310,-2.3758
170,310,-4.0601
175,310,-5.32002
180,310,-5.4606
0,315,-4.82479
5,315,-4.74097
10,315,-3.86095
15,315,-2.55637
20,315,-1.25966
25,315,-0.182106
30,315,0.630666
35,315,1.20146
40,315,1.56743
45,315,1.75966
50,315,1.80195
55,315,1.71711
60,315,1.53246
65,315,1.28132
70,315,1.00084
75,315,0.728004
80,315,0.495503
85,315,0.328699
90,315,0.244037
95,315,0.248686
100,315,0.34086
105,315,0.510365
110,315,0.739158
115,315,1.00204
120,315,1.2678
125,315,1.5008
130,315,1.66279
135,315,1.71389
140,315,1.61207
145,315,1.31164
150,315,0.762972
155,315,-0.0824841
160,315,-1.25497
165,315,-2.72064
170,315,-4.27145
175,315,-5.38064
180,315,-5.4606
0,320,-4.82479
5,320,-4.80709
10,320,-4.09277
15,320,-2.96323
20,320,-1.79377
25,320,-0.793895
30,320,-0.0229116
35,320,0.529061
40,320,0.888364
45,320,1.07673
50,320,1.11041
55,320,1.00733
60,320,0.793236
65,320,0.503342
70,320,0.179717
75,320,-0.133764
80,320,-0.397137
85,320,-0.57916
90,320,-0.660317
95,320,-0.633827
100,320,-0.505042
105,320,-0.28985
110,320,-0.0126334
115,320,0.295832
120,320,0.600442
125,320,0.863755
130,320,1.04764
135,320,1.11398
140,320,1.02397
145,320,0.736382
150,320,0.207421
155,320,-0.603685
160,320,-1.7161
165,320,-3.08095
170,320,-4.482
175,320,-5.43656
180,320,-5.4606
0,325,-4.82479
5,325,-4.86719
10,325,-4.31511
15,325,-3.37193
20,325,-2.34871
25,325,-1.444
30,325,-0.728604
35,325,-0.206936
40,325,0.134592
45,325,0.306959
50,325,0.318128
55,325,0.18088
60,325,-0.0804425
65,325,-0.428063
70,325,-0.813696
75,325,-1.18484
80,325,-1.49251
85,325,-1.69819
90,325,-1.77841
95,325,-1.72623
100,325,-1.55057
105,325,-1.2738
110,325,-0.928285
115,325,-0.55254
120,325,-0.187554
125,325,0.125992
130,325,0.349345
135,325,0.44593
140,325,0.380203
145,325,0.115898
150,325,-0.383919
155,325,-1.1506
160,325,-2.1906
165,325,-3.44043
170,325,-4.68205
175,325,-5.48542
180,325,-5.4606
0,330,-4.82479
5,330,-4.91905
10,330,-4.51695
15,330,-3.7598
20,330,-2.89336
25,330,-2.096
30,330,-1.44548
35,330,-0.960101
40,330,-0.639485
45,330,-0.48302
50,330,-0.48955
55,330,-0.6493
60,330,-0.937229
65,330,-1.31177
70,330,-1.71929
75,330,-2.10284
80,330,-2.41226
85,330,-2.61148
90,330,-2.68074
95,330,-2.61516
100,330,-2.42294
105,330,-2.1245
110,330,-1.75146
115,330,-1.34374
120,330,-0.945118
125,330,-0.599074
130,330,-0.346201
135,330,-0.223553
140,330,-0.265504
145,330,-0.504975
150,330,-0.972642
155,330,-1.6901
160,330,-2.65074
165,330,-3.77861
170,330,-4.86103
175,330,-5.525
180,330,-5.4606
0,335,-4.82479
5,335,-4.96067
10,335,-4.68711
15,335,-4.09997
20,335,-3.3854
25,335,-2.69521
30,335,-2.10836
35,335,-1.65464
40,335,-1.34522
45,335,-1.18695
50,335,-1.18093
55,335,-1.31508
60,335,-1.55934
65,335,-1.8675
70,335,-2.18605
75,335,-2.46691
80,335,-2.67762
85,335,-2.80336
90,335,-2.8409
95,335,-2.79079
100,335,-2.65404
105,335,-2.43472
110,335,-2.14542
115,335,-1.81075
120,335,-1.46634
125,335,-1.15425
130,335,-0.917994
135,335,-0.799151
140,335,-0.835834
145,335,-1.06189
150,335,-1.50456
155,335,-2.17712
160,335,-3.06124
165,335,-4.07198
170,335,-5.00837
175,335,-5.55334
180,335,-5.4606
0,340,-4.82479
5,340,-4.99043
10,340,-4.81553
15,340,-4.36453
20,340,-3.77526
25,340,-3.17239
30,340,-2.63187
35,340,-2.19165
40,340,-1.87111
45,340,-1.67967
50,340,-1.61468
55,340,-1.65665
60,340,-1.76951
65,340,-1.90863
70,340,-2.03426
75,340,-2.12336
80,340,-2.17243
85,340,-2.19039
90,340,-2.18786
95,340,-2.16902
100,340,-2.12905
105,340,-2.05691
110,340,-1.94203
115,340,-1.78264
120,340,-1.59192
125,340,-1.39912
130,340,-1.24553
135,340,-1.17804
140,340,-1.24267
145,340,-1.47914
150,340,-1.91536
155,340,-2.55917
160,340,-3.38303
165,340,-4.29679
170,340,-5.11463
175,340,-5.56891
180,340,-5.4606
0,345,-4.82479
5,345,-5.00719
10,345,-4.89456
15,345,-4.52982
20,345,-4.01697
25,345,-3.46023
30,345,-2.93314
35,345,-2.47987
40,345,-2.12442
45,345,-1.87429
50,345,-1.71934
55,345,-1.63274
60,345,-1.57839
65,345,-1.52395
70,345,-1.45278
75,345,-1.36743
80,345,-1.28333
85,345,-1.21872
90,345,-1.18672
95,345,-1.19151
100,345,-1.22739
105,345,-1.27964
110,345,-1.32773
115,345,-1.35184
120,345,-1.34208
125,345,-1.307
130,345,-1.27638
135,345,-1.2964
140,345,-1.41949
145,345,-1.69271
150,345,-2.14725
155,345,-2.78818
160,345,-3.58121
165,345,-4.43324
170,345,-5.17273
175,345,-5.57063
180,345,-5.4606
0,350,-4.82479
5,350,-5.01034
10,350,-4.9202
15,350,-4.5825
20,350,-4.08351
25,350,-3.52017
30,350,-2.96951
35,350,-2.48197
40,350,-2.08325
45,350,-1.7758
50,350,-1.54124
55,350,-1.34781
60,350,-1.16364
65,350,-0.970503
70,350,-0.769958
75,350,-0.578849
80,350,-0.419187
85,350,-0.309617
90,350,-0.261461
95,350,-0.277916
100,350,-0.354026
105,350,-0.47637
110,350,-0.623464
115,350,-0.769225
120,350,-0.891332
125,350,-0.982832
130,350,-1.06102
135,350,-1.16711
140,350,-1.35578
145,350,-1.67926
150,350,-2.1719
155,350,-2.8371
160,350,-3.63524
165,350,-4.47007
170,350,-5.17905
175,350,-5.55804
180,350,-5.4606
0,355,-4.82479
5,355,-4.99988
10,355,-4.89269
15,355,-4.52343
20,355,-3.9781
25,355,-3.36208
30,355,-2.76283
35,355,-2.2365
40,355,-1.80722
45,355,-1.47014
50,355,-1.19826
55,355,-0.955024
60,355,-0.710587
65,355,-0.454464
70,355,-0.19706
75,355,0.0390284
80,355,0.230107
85,355,0.358344
90,355,0.413714
95,355,0.393528
100,355,0.302144
105,355,0.151785
110,355,-0.0367008
115,355,-0.235859
120,355,-0.419096
125,355,-0.573097
130,355,-0.709356
135,355,-0.866617
140,355,-1.10094
145,355,-1.46786
150,355,-2.00393
155,355,-2.71143
160,355,-3.54623
165,355,-4.40747
170,355,-5.13394
175,355,-5.53128
180,355,-5.4606
0,360,-4.82479
5,360,-4.97636
10,360,-4.81645
15,360,-4.36732
20,360,-3.73268
25,360,-3.03877
30,360,-2.38559
35,360,-1.8315
40,360,-1.39538
45,360,-1.06378
50,360,-0.80106
55,360,-0.564597
60,360,-0.322253
65,360,-0.0643342
70,360,0.196749
75,360,0.436784
80,360,0.631309
85,360,0.762249
90,360,0.819447
95,360,0.800002
100,360,0.708025
105,360,0.555642
110,360,0.363951
115,360,0.161044
120,360,-0.0257363
125,360,-0.182842
130,360,-0.322723
135,360,-0.48651
140,360,-0.733601
145,360,-1.12287
150,360,-1.69304
155,360,-2.44646
160,360,-3.33636
165,360,-4.25695
170,360,-5.04161
175,360,-5.49106
180,360,-5.4606
