case,variables,seconds,points,max_s11_db,max_s11_freq_ghz,min_s11_db,min_s11_freq_ghz,s11_3p30_db,s11_3p40_db,s11_3p50_db,s11_3p60_db,s11_3p70_db,s11_3p80_db,below10_start_ghz,below10_stop_ghz,below10_span_ghz,csv
base_formal_repeat,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",7.14,21,-7.956909,3.300000,-9.464882,3.800000,-7.956909,-8.120262,-8.329671,-8.605228,-8.973808,-9.464882,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\base_formal_repeat_formal_S11.csv
Lg17,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.76,21,-9.962288,3.300000,-12.184239,3.800000,-9.962288,-10.204241,-10.515539,-10.924671,-11.468412,-12.184239,3.325,3.8,0.475000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_formal_S11.csv
Lg18,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",35.56,21,-15.085789,3.300000,-24.105260,3.800000,-15.085789,-15.898281,-16.980632,-18.492316,-20.717349,-24.105260,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_formal_S11.csv
Lg17_Wf5p2,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.02,21,-9.458902,3.300000,-11.361680,3.800000,-9.458902,-9.626210,-9.866793,-10.208533,-10.690711,-11.361680,3.55,3.8,0.250000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wf5p2_formal_S11.csv
Lg17_Wf5p6,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.6mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.91,21,-8.246424,3.300000,-9.758366,3.800000,-8.246424,-8.353077,-8.530441,-8.800986,-9.197072,-9.758366,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wf5p6_formal_S11.csv
Lg17_Lp26,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.52,21,-11.263981,3.300000,-14.728408,3.800000,-11.263981,-11.706921,-12.242151,-12.900879,-13.721107,-14.728408,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Lp26_formal_S11.csv
Lg17_Lp28,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '28mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",35.94,21,-12.842557,3.300000,-17.067648,3.800000,-12.842557,-13.572824,-14.403860,-15.325076,-16.277062,-17.067648,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Lp28_formal_S11.csv
Lg17_Wp34,"{'Lg': '17mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.29,21,-9.473084,3.300000,-10.541307,3.800000,-9.473084,-9.584365,-9.727319,-9.920095,-10.185469,-10.541307,3.65,3.8,0.150000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wp34_formal_S11.csv
Lg16_Wp34,"{'Lg': '16mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",28.31,21,-7.379728,3.300000,-7.839908,3.800000,-7.379728,-7.408836,-7.449937,-7.530597,-7.661251,-7.839908,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_Wp34_formal_S11.csv
Lg16_Lp26,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.20,21,-8.629368,3.300000,-10.235128,3.800000,-8.629368,-8.839616,-9.086697,-9.386589,-9.761453,-10.235128,3.775,3.8,0.025000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_Lp26_formal_S11.csv
Lg16_notch8x3,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '8mm', 'Ngd': '3mm'}",38.08,21,-9.072602,3.300000,-10.510160,3.800000,-9.072602,-9.184583,-9.356464,-9.609173,-9.976948,-10.510160,3.725,3.8,0.075000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_notch8x3_formal_S11.csv
Lg16_notch16x5,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '16mm', 'Ngd': '5mm'}",29.92,21,-6.063895,3.300000,-6.600817,3.800000,-6.063895,-6.120800,-6.194464,-6.291804,-6.424238,-6.600817,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_notch16x5_formal_S11.csv
Lg18_Wf5p2_Lp26,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '5.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.31,21,-15.284654,3.300000,-23.143337,3.800000,-15.284654,-16.081737,-17.142389,-18.584680,-20.577531,-23.143337,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_Wf5p2_Lp26_formal_S11.csv
Lg18_Wp34_Lp26,"{'Lg': '18mm', 'Wp': '34mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '14mm', 'Ngd': '5mm'}",27.57,21,-9.423541,3.800000,-9.915034,3.300000,-9.915034,-9.893417,-9.840386,-9.748545,-9.611472,-9.423541,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_Wp34_Lp26_formal_S11.csv
