source_log,case,variables,seconds,points,max_s11_db,max_s11_freq_ghz,min_s11_db,min_s11_freq_ghz,s11_3p30_db,s11_3p40_db,s11_3p50_db,s11_3p60_db,s11_3p70_db,s11_3p80_db,below10_start_ghz,below10_stop_ghz,below10_span_ghz,csv,features
scratch_monopole_sweep_log.csv,base_Lg16_Wp30_Lp24,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",27.77,11,-13.13455,3.3,-20.203121,3.8,-13.13455,-14.132381,-15.431194,-17.112014,-19.064466,-20.203121,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\base_Lg16_Wp30_Lp24_S11.csv,
scratch_monopole_sweep_log.csv,Lg12_patch30x24,"{'Lg': '12mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.13,11,-5.14506,3.3,-5.625888,3.8,-5.14506,-5.199734,-5.266383,-5.352077,-5.467469,-5.625888,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg12_patch30x24_S11.csv,
scratch_monopole_sweep_log.csv,Lg14_patch30x24,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.88,11,-7.421166,3.3,-9.001379,3.8,-7.421166,-7.613881,-7.849172,-8.145178,-8.523703,-9.001379,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg14_patch30x24_S11.csv,
scratch_monopole_sweep_log.csv,Lg18_patch30x24,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.51,11,-8.800658,3.8,-17.470206,3.3,-17.470206,-15.202753,-13.249586,-11.549506,-10.071089,-8.800658,3.3,3.7,0.4,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_patch30x24_S11.csv,
scratch_monopole_sweep_log.csv,Lg20_patch30x24,"{'Lg': '20mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.13,11,-3.946229,3.8,-6.45342,3.3,-6.45342,-5.855942,-5.297992,-4.789718,-4.337582,-3.946229,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg20_patch30x24_S11.csv,
scratch_monopole_sweep_log.csv,wide_patch34_Lg14,"{'Lg': '14mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.22,11,-6.437472,3.3,-6.826546,3.8,-6.437472,-6.456264,-6.490875,-6.555189,-6.664091,-6.826546,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\wide_patch34_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,wide_patch34_Lg16,"{'Lg': '16mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.75,11,-11.460785,3.8,-11.707382,3.55,-11.529749,-11.635199,-11.695343,-11.705206,-11.64314,-11.460785,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\wide_patch34_Lg16_S11.csv,
scratch_monopole_sweep_log.csv,long_patch30x27_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '27mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.42,11,-8.601517,3.3,-10.100722,3.8,-8.601517,-8.954197,-9.301307,-9.626253,-9.905269,-10.100722,3.75,3.8,0.05,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\long_patch30x27_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,short_patch30x21_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '21mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.61,11,-5.998012,3.3,-7.146338,3.8,-5.998012,-6.07215,-6.201147,-6.405197,-6.710609,-7.146338,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\short_patch30x21_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,feed42_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.65,11,-7.542314,3.3,-9.314043,3.8,-7.542314,-7.80474,-8.105508,-8.456499,-8.864566,-9.314043,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\feed42_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,feed54_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.4mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.6,11,-7.906806,3.3,-10.127658,3.8,-7.906806,-8.15578,-8.475156,-8.887476,-9.425378,-10.127658,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\feed54_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,notch8x3_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '8mm', 'Ngd': '3mm'}",26.02,11,-6.70603,3.3,-8.054978,3.8,-6.70603,-6.817544,-6.984046,-7.224266,-7.567397,-8.054978,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\notch8x3_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,notch16x5_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '16mm', 'Ngd': '5mm'}",27.08,11,-5.620061,3.3,-5.936398,3.8,-5.620061,-5.68375,-5.748499,-5.815551,-5.882428,-5.936398,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\notch16x5_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,neck18_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wneck': '18mm', 'Lstep': '5mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.6,11,-7.372681,3.3,-9.570304,3.8,-7.372681,-7.626678,-7.946327,-8.3571,-8.890182,-9.570304,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\neck18_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,neck10_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wneck': '10mm', 'Lstep': '5mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.53,11,-4.816497,3.3,-5.422616,3.8,-4.816497,-4.86428,-4.937249,-5.045806,-5.203188,-5.422616,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\neck10_Lg14_S11.csv,
scratch_monopole_sweep_log.csv,compact_28x22_Lg13,"{'Lg': '13mm', 'Wp': '28mm', 'Lp': '22mm', 'Wf': '4.8mm', 'Wgn': '10mm', 'Ngd': '4mm'}",25.04,11,-5.743556,3.3,-6.570046,3.8,-5.743556,-5.793692,-5.883393,-6.027088,-6.246301,-6.570046,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\compact_28x22_Lg13_S11.csv,
scratch_monopole_sweep_log.csv,large_36x26_Lg15,"{'Lg': '15mm', 'Wp': '36mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '14mm', 'Ngd': '5mm'}",25.78,11,-5.817021,3.8,-6.619613,3.3,-6.619613,-6.432562,-6.275812,-6.130855,-5.97997,-5.817021,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\large_36x26_Lg15_S11.csv,
scratch_monopole_sweep_log.csv,lowband_34x28_Lg18,"{'Lg': '18mm', 'Wp': '34mm', 'Lp': '28mm', 'Wf': '5.0mm', 'Wgn': '14mm', 'Ngd': '5mm'}",26.42,11,-5.949257,3.8,-11.272627,3.3,-11.272627,-9.830543,-8.611799,-7.581024,-6.70277,-5.949257,3.3,3.35,0.05,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\lowband_34x28_Lg18_S11.csv,
scratch_formal_refine_log.csv,base_formal_repeat,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",7.14,21,-7.956909,3.3,-9.464882,3.8,-7.956909,-8.120262,-8.329671,-8.605228,-8.973808,-9.464882,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\base_formal_repeat_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.76,21,-9.962288,3.3,-12.184239,3.8,-9.962288,-10.204241,-10.515539,-10.924671,-11.468412,-12.184239,3.325,3.8,0.475,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_formal_S11.csv,
scratch_formal_refine_log.csv,Lg18,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",35.56,21,-15.085789,3.3,-24.10526,3.8,-15.085789,-15.898281,-16.980632,-18.492316,-20.717349,-24.10526,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17_Wf5p2,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.02,21,-9.458902,3.3,-11.36168,3.8,-9.458902,-9.62621,-9.866793,-10.208533,-10.690711,-11.36168,3.55,3.8,0.25,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wf5p2_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17_Wf5p6,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.6mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.91,21,-8.246424,3.3,-9.758366,3.8,-8.246424,-8.353077,-8.530441,-8.800986,-9.197072,-9.758366,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wf5p6_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17_Lp26,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.52,21,-11.263981,3.3,-14.728408,3.8,-11.263981,-11.706921,-12.242151,-12.900879,-13.721107,-14.728408,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Lp26_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17_Lp28,"{'Lg': '17mm', 'Wp': '30mm', 'Lp': '28mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",35.94,21,-12.842557,3.3,-17.067648,3.8,-12.842557,-13.572824,-14.40386,-15.325076,-16.277062,-17.067648,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Lp28_formal_S11.csv,
scratch_formal_refine_log.csv,Lg17_Wp34,"{'Lg': '17mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",36.29,21,-9.473084,3.3,-10.541307,3.8,-9.473084,-9.584365,-9.727319,-9.920095,-10.185469,-10.541307,3.65,3.8,0.15,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg17_Wp34_formal_S11.csv,
scratch_formal_refine_log.csv,Lg16_Wp34,"{'Lg': '16mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",28.31,21,-7.379728,3.3,-7.839908,3.8,-7.379728,-7.408836,-7.449937,-7.530597,-7.661251,-7.839908,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_Wp34_formal_S11.csv,
scratch_formal_refine_log.csv,Lg16_Lp26,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.2,21,-8.629368,3.3,-10.235128,3.8,-8.629368,-8.839616,-9.086697,-9.386589,-9.761453,-10.235128,3.775,3.8,0.025,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_Lp26_formal_S11.csv,
scratch_formal_refine_log.csv,Lg16_notch8x3,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '8mm', 'Ngd': '3mm'}",38.08,21,-9.072602,3.3,-10.51016,3.8,-9.072602,-9.184583,-9.356464,-9.609173,-9.976948,-10.51016,3.725,3.8,0.075,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_notch8x3_formal_S11.csv,
scratch_formal_refine_log.csv,Lg16_notch16x5,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '16mm', 'Ngd': '5mm'}",29.92,21,-6.063895,3.3,-6.600817,3.8,-6.063895,-6.1208,-6.194464,-6.291804,-6.424238,-6.600817,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg16_notch16x5_formal_S11.csv,
scratch_formal_refine_log.csv,Lg18_Wf5p2_Lp26,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '26mm', 'Wf': '5.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",37.31,21,-15.284654,3.3,-23.143337,3.8,-15.284654,-16.081737,-17.142389,-18.58468,-20.577531,-23.143337,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_Wf5p2_Lp26_formal_S11.csv,
scratch_formal_refine_log.csv,Lg18_Wp34_Lp26,"{'Lg': '18mm', 'Wp': '34mm', 'Lp': '26mm', 'Wf': '4.8mm', 'Wgn': '14mm', 'Ngd': '5mm'}",27.57,21,-9.423541,3.8,-9.915034,3.3,-9.915034,-9.893417,-9.840386,-9.748545,-9.611472,-9.423541,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_Wp34_Lp26_formal_S11.csv,
phone_pifa_enhance_log.csv,phone_ground_only,,35.5,21,-14.477677,3.65,-15.118132,3.3,-15.118132,-14.795592,-14.584322,-14.48583,-14.495708,-14.605709,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_only_phone_pifa_S11.csv,{'phone_ground': True}
phone_pifa_enhance_log.csv,phone_ground_side_frame,,32.46,21,-7.952078,3.8,-9.753566,3.3,-9.753566,-9.176675,-8.671401,-8.282519,-8.038889,-7.952078,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_side_frame_phone_pifa_S11.csv,"{'phone_ground': True, 'side_frame': True}"
phone_pifa_enhance_log.csv,phone_ground_right_parasitic,,30.85,21,-10.767781,3.8,-12.766729,3.3,-12.766729,-12.201239,-11.721995,-11.322622,-11.003122,-10.767781,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_right_parasitic_phone_pifa_S11.csv,"{'phone_ground': True, 'parasitic': ('right', '1.2mm', '24mm', '0.9mm', '19mm')}"
phone_pifa_enhance_log.csv,phone_ground_dual_parasitic,,37.78,21,-10.412865,3.8,-12.243488,3.3,-12.243488,-11.722521,-11.280358,-10.914107,-10.624127,-10.412865,3.3,3.8,0.5,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_dual_parasitic_phone_pifa_S11.csv,"{'phone_ground': True, 'parasitic': ('right', '1.2mm', '24mm', '0.9mm', '19mm'), 'parasitic2': ('left', '1.0mm', '18mm', '0.9mm', '23mm')}"
phone_pifa_enhance_log.csv,phone_ground_shortwall,,32.47,21,-4.805775,3.8,-6.073109,3.3,-6.073109,-5.609176,-5.246969,-4.998305,-4.85842,-4.805775,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_shortwall_phone_pifa_S11.csv,"{'phone_ground': True, 'short_wall': ('left', '1.0mm', '4mm', '17mm')}"
phone_pifa_enhance_log.csv,phone_ground_shortwall_para,,26.61,21,-3.553832,3.8,-4.868297,3.3,-4.868297,-4.393489,-4.042473,-3.79729,-3.638849,-3.553832,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_shortwall_para_phone_pifa_S11.csv,"{'phone_ground': True, 'short_wall': ('left', '1.0mm', '4mm', '17mm'), 'parasitic': ('right', '1.2mm', '22mm', '0.9mm', '20mm')}"
phone_pifa_enhance_log.csv,phone_ground_sideframe_para,,32.49,21,-7.121788,3.8,-8.723013,3.3,-8.723013,-8.089659,-7.628386,-7.331248,-7.172927,-7.121788,,,0.0,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\phone_ground_sideframe_para_phone_pifa_S11.csv,"{'phone_ground': True, 'side_frame': True, 'parasitic': ('right', '1.2mm', '24mm', '0.9mm', '19mm')}"
